device_key,DeviceType,DeviceInfo
mobile|MotoG3 Build/MPIS24.65-25.1-19,mobile,MotoG3 Build/MPIS24.65-25.1-19
mobile|BV6000,mobile,BV6000
mobile|SM-T230 Build/KOT49H,mobile,SM-T230 Build/KOT49H
mobile|SAMSUNG SM-G920P Build/NRD90M,mobile,SAMSUNG SM-G920P Build/NRD90M
mobile|HTC One A9 Build/NRD90M,mobile,HTC One A9 Build/NRD90M
mobile|NX785QC8G,mobile,NX785QC8G
desktop|rv:47.0,desktop,rv:47.0
mobile|E5506 Build/29.1.A.0.101,mobile,E5506 Build/29.1.A.0.101
mobile|LGL33L/V100,mobile,LGL33L/V100
mobile|SM-G920V Build/MMB29K,mobile,SM-G920V Build/MMB29K
mobile|SM-J510FN,mobile,SM-J510FN
mobile|LGMS330 Build/LMY47V,mobile,LGMS330 Build/LMY47V
mobile|Microsoft,mobile,Microsoft
mobile|SM-T560NU Build/NMF26X,mobile,SM-T560NU Build/NMF26X
mobile|SAMSUNG SM-G955F Build/NRD90M,mobile,SAMSUNG SM-G955F Build/NRD90M
mobile|XT1053 Build/LPAS23.12-21.7-1,mobile,XT1053 Build/LPAS23.12-21.7-1
mobile|5025G Build/LMY47I,mobile,5025G Build/LMY47I
mobile|LG-H918 Build/NRD90M,mobile,LG-H918 Build/NRD90M
mobile|SM-G900W8,mobile,SM-G900W8
mobile|SM-J320V Build/NMF26X,mobile,SM-J320V Build/NMF26X
mobile|SM-J105B Build/LMY47V,mobile,SM-J105B Build/LMY47V
mobile|SAMSUNG SM-G550T1 Build/MMB29K,mobile,SAMSUNG SM-G550T1 Build/MMB29K
mobile|5010S Build/MRA58K,mobile,5010S Build/MRA58K
mobile|LG-H910 Build/NRD90M,mobile,LG-H910 Build/NRD90M
mobile|MotoE2 Build/LPCS23.13-56-5,mobile,MotoE2 Build/LPCS23.13-56-5
mobile|LGMS210 Build/NRD90U,mobile,LGMS210 Build/NRD90U
mobile|LG-M700 Build/NMF26X,mobile,LG-M700 Build/NMF26X
mobile|SM-G930V Build/MMB29M,mobile,SM-G930V Build/MMB29M
mobile|SM-A510M Build/MMB29K,mobile,SM-A510M Build/MMB29K
mobile|5054N,mobile,5054N
mobile|SAMSUNG SM-G900A Build/MMB29M,mobile,SAMSUNG SM-G900A Build/MMB29M
mobile|SM-G935V,mobile,SM-G935V
mobile|SAMSUNG-SM-T677A,mobile,SAMSUNG-SM-T677A
mobile|SM-J500FN,mobile,SM-J500FN
mobile|LGMP450 Build/NRD90U,mobile,LGMP450 Build/NRD90U
mobile|Pixel 2 Build/OPM1.171019.011,mobile,Pixel 2 Build/OPM1.171019.011
mobile|SM-J701M Build/NRD90M,mobile,SM-J701M Build/NRD90M
mobile|Z798BL Build/MMB29M,mobile,Z798BL Build/MMB29M
mobile|HUAWEI CUN-L03 Build/HUAWEICUN-L03,mobile,HUAWEI CUN-L03 Build/HUAWEICUN-L03
mobile|Lenovo-A6020l36 Build/LMY47V,mobile,Lenovo-A6020l36 Build/LMY47V
mobile|VS820,mobile,VS820
mobile|KFTHWI Build/KTU84M,mobile,KFTHWI Build/KTU84M
mobile|LG-K530 Build/NRD90U,mobile,LG-K530 Build/NRD90U
mobile|SM-T827V Build/NRD90M,mobile,SM-T827V Build/NRD90M
mobile|SAMSUNG SM-G935F Build/MMB29K,mobile,SAMSUNG SM-G935F Build/MMB29K
mobile|LG-H650 Build/MRA58K,mobile,LG-H650 Build/MRA58K
mobile|SAMSUNG-SGH-I337 Build/KOT49H,mobile,SAMSUNG-SGH-I337 Build/KOT49H
mobile|LG-K220 Build/MXB48T,mobile,LG-K220 Build/MXB48T
mobile|LG-H810/H81021z,mobile,LG-H810/H81021z
mobile|ALE-L21 Build/HuaweiALE-L21,mobile,ALE-L21 Build/HuaweiALE-L21
mobile|Redmi 4X Build/N2G47H,mobile,Redmi 4X Build/N2G47H
mobile|SAMSUNG SM-G935A Build/NRD90M,mobile,SAMSUNG SM-G935A Build/NRD90M
mobile|rv:58.0,mobile,rv:58.0
mobile|SM-T713 Build/NRD90M,mobile,SM-T713 Build/NRD90M
mobile|5051A Build/MMB29M,mobile,5051A Build/MMB29M
mobile|LG-P714,mobile,LG-P714
mobile|SAMSUNG SM-G531H Build/LMY48B,mobile,SAMSUNG SM-G531H Build/LMY48B
mobile|SM-G928G Build/NRD90M,mobile,SM-G928G Build/NRD90M
mobile|X10,mobile,X10
mobile|GT-P5210 Build/KOT49H,mobile,GT-P5210 Build/KOT49H
mobile|GT-I9500,mobile,GT-I9500
mobile|HUAWEI Y625-U13 Build/HUAWEIY625-U13,mobile,HUAWEI Y625-U13 Build/HUAWEIY625-U13
mobile|Hisense L675 Build/MRA58K,mobile,Hisense L675 Build/MRA58K
mobile|P5526A Build/NRD90M,mobile,P5526A Build/NRD90M
mobile|SM-T818V,mobile,SM-T818V
mobile|es-mx,mobile,es-mx
mobile|TA-1039 Build/NMF26F,mobile,TA-1039 Build/NMF26F
mobile|SM-A310M Build/LMY47X,mobile,SM-A310M Build/LMY47X
mobile|LG-D851,mobile,LG-D851
mobile|SM-J320V Build/MMB29M,mobile,SM-J320V Build/MMB29M
mobile|LG-H990 Build/NRD90M,mobile,LG-H990 Build/NRD90M
mobile|LG-V495/V49520l,mobile,LG-V495/V49520l
mobile|SM-T350 Build/MMB29M,mobile,SM-T350 Build/MMB29M
mobile|PRA-LX3 Build/HUAWEIPRA-LX3,mobile,PRA-LX3 Build/HUAWEIPRA-LX3
mobile|XT1080 Build/SU6-7.7,mobile,XT1080 Build/SU6-7.7
mobile|HUAWEI Y520-U03 Build/HUAWEIY520-U03,mobile,HUAWEI Y520-U03 Build/HUAWEIY520-U03
mobile|Lenovo A2016b30 Build/MRA58K,mobile,Lenovo A2016b30 Build/MRA58K
mobile|MYA-L23,mobile,MYA-L23
mobile|K88 Build/MMB29M,mobile,K88 Build/MMB29M
mobile|MotoG3 Build/MPIS24.107-55-2-17,mobile,MotoG3 Build/MPIS24.107-55-2-17
mobile|Trident/7.0,mobile,Trident/7.0
mobile|LGLS770,mobile,LGLS770
mobile|LG-M153 Build/MXB48T,mobile,LG-M153 Build/MXB48T
mobile|QTAIR7 Build/LMY47D,mobile,QTAIR7 Build/LMY47D
mobile|2PQ93,mobile,2PQ93
mobile|SM-J111M Build/LMY47V,mobile,SM-J111M Build/LMY47V
mobile|SM-S320VL,mobile,SM-S320VL
mobile|LG-H901,mobile,LG-H901
mobile|ILIUM,mobile,ILIUM
mobile|SM-T377V Build/NMF26X,mobile,SM-T377V Build/NMF26X
mobile|ONE A2005 Build/MMB29M,mobile,ONE A2005 Build/MMB29M
mobile|SM-N910T Build/MMB29M,mobile,SM-N910T Build/MMB29M
mobile|Android 5.1,mobile,Android 5.1
mobile|XT1058 Build/LPAS23.12-21.7-1,mobile,XT1058 Build/LPAS23.12-21.7-1
mobile|Pixel Build/OPM1.171019.011,mobile,Pixel Build/OPM1.171019.011
mobile|Pixel XL Build/OPM1.171019.011,mobile,Pixel XL Build/OPM1.171019.011
mobile|LG-TP260 Build/NRD90U,mobile,LG-TP260 Build/NRD90U
mobile|SM-N900V Build/LRX21V,mobile,SM-N900V Build/LRX21V
mobile|Moto X Play Build/NPD26.48-24-1,mobile,Moto X Play Build/NPD26.48-24-1
mobile|SKY_5.0LM,mobile,SKY_5.0LM
mobile|SM-A320Y Build/NRD90M,mobile,SM-A320Y Build/NRD90M
mobile|SM-T230NU Build/KOT49H,mobile,SM-T230NU Build/KOT49H
mobile|KFTT Build/IML74K,mobile,KFTT Build/IML74K
mobile|2PS64 Build/NRD90M,mobile,2PS64 Build/NRD90M
mobile|SAMSUNG-SM-G930A,mobile,SAMSUNG-SM-G930A
mobile|STV100-2 Build/MMB29M,mobile,STV100-2 Build/MMB29M
mobile|G3123 Build/40.0.A.6.135,mobile,G3123 Build/40.0.A.6.135
mobile|SAMSUNG SM-A300H Build/LRX22G,mobile,SAMSUNG SM-A300H Build/LRX22G
mobile|Z971,mobile,Z971
mobile|SM-G935W8,mobile,SM-G935W8
mobile|SM-P580 Build/NRD90M,mobile,SM-P580 Build/NRD90M
mobile|SAMSUNG-SM-J320A Build/MMB29K,mobile,SAMSUNG-SM-J320A Build/MMB29K
mobile|SAMSUNG-SM-J727A Build/NRD90M,mobile,SAMSUNG-SM-J727A Build/NRD90M
mobile|VerykoolS5030,mobile,VerykoolS5030
mobile|SM-J320P Build/LMY47X,mobile,SM-J320P Build/LMY47X
mobile|LGLS751,mobile,LGLS751
mobile|F8331 Build/41.2.A.7.76,mobile,F8331 Build/41.2.A.7.76
mobile|SM-A520F Build/MMB29K,mobile,SM-A520F Build/MMB29K
mobile|Blade L5 Build/LMY47I,mobile,Blade L5 Build/LMY47I
mobile|TOMMY2,mobile,TOMMY2
desktop|rv:50.0,desktop,rv:50.0
mobile|SLA-L03 Build/HUAWEISLA-L03,mobile,SLA-L03 Build/HUAWEISLA-L03
mobile|Moto E (4) Build/NMA26.42-11-3,mobile,Moto E (4) Build/NMA26.42-11-3
mobile|SM-T280 Build/LMY47V,mobile,SM-T280 Build/LMY47V
mobile|F8331,mobile,F8331
mobile|Z837VL,mobile,Z837VL
mobile|SM-A510F Build/NRD90M,mobile,SM-A510F Build/NRD90M
mobile|XT1580,mobile,XT1580
mobile|SM-T820 Build/NRD90M,mobile,SM-T820 Build/NRD90M
mobile|SM-G550T1 Build/MMB29K,mobile,SM-G550T1 Build/MMB29K
mobile|LG-H871,mobile,LG-H871
mobile|LG-LS993 Build/NRD90U,mobile,LG-LS993 Build/NRD90U
mobile|SM-T377W,mobile,SM-T377W
mobile|SAMSUNG SM-J700M Build/LMY48B,mobile,SAMSUNG SM-J700M Build/LMY48B
mobile|SM-G900F Build/LRX21T,mobile,SM-G900F Build/LRX21T
mobile|SAMSUNG-SM-G900A Build/MMB29M,mobile,SAMSUNG-SM-G900A Build/MMB29M
mobile|XT1032 Build/KXB21.14-L1.40,mobile,XT1032 Build/KXB21.14-L1.40
mobile|XT1563 Build/MPDS24.107-52-5,mobile,XT1563 Build/MPDS24.107-52-5
mobile|Blade,mobile,Blade
mobile|verykoolS5019,mobile,verykoolS5019
mobile|SM-G360V Build/LMY48B,mobile,SM-G360V Build/LMY48B
mobile|LG-X210 Build/LMY47I,mobile,LG-X210 Build/LMY47I
mobile|hi6210sft Build/MRA58K,mobile,hi6210sft Build/MRA58K
mobile|SAMSUNG SM-T530NU Build/LRX22G,mobile,SAMSUNG SM-T530NU Build/LRX22G
mobile|C6743 Build/LMY47V,mobile,C6743 Build/LMY47V
mobile|BLN-L24 Build/HONORBLN-L24,mobile,BLN-L24 Build/HONORBLN-L24
mobile|SM-G935T,mobile,SM-G935T
mobile|Redmi Note 3 Build/MMB29M,mobile,Redmi Note 3 Build/MMB29M
mobile|SAMSUNG-SM-G900A Build/LMY47X,mobile,SAMSUNG-SM-G900A Build/LMY47X
mobile|E6810 Build/5.320VZ.03.r,mobile,E6810 Build/5.320VZ.03.r
mobile|E6553,mobile,E6553
mobile|Pixel 2 XL Build/OPM1.171019.011,mobile,Pixel 2 XL Build/OPM1.171019.011
mobile|Z835 Build/NMF26V,mobile,Z835 Build/NMF26V
mobile|LG-D725,mobile,LG-D725
mobile|XT1008 Build/LPBS23.13-56-2,mobile,XT1008 Build/LPBS23.13-56-2
mobile|XT1040,mobile,XT1040
mobile|en-us,mobile,en-us
mobile|SM-T807V,mobile,SM-T807V
mobile|VS996,mobile,VS996
mobile|E6853,mobile,E6853
mobile|LG-K550 Build/NRD90U,mobile,LG-K550 Build/NRD90U
mobile|XT1030 Build/SU6-7.7,mobile,XT1030 Build/SU6-7.7
mobile|LG-M154,mobile,LG-M154
mobile|SM-J700T Build/NMF26X,mobile,SM-J700T Build/NMF26X
mobile|SM-G920F Build/MMB29K,mobile,SM-G920F Build/MMB29K
mobile|8050G Build/LMY47I,mobile,8050G Build/LMY47I
mobile|SM-A500FU Build/MMB29M,mobile,SM-A500FU Build/MMB29M
mobile|SM-T337V,mobile,SM-T337V
mobile|SAMSUNG-SM-T377A Build/MMB29K,mobile,SAMSUNG-SM-T377A Build/MMB29K
mobile|HELIO,mobile,HELIO
mobile|BLADE V7 Build/MRA58K,mobile,BLADE V7 Build/MRA58K
mobile|MotoG3 Build/MPI24.65-33.1-2,mobile,MotoG3 Build/MPI24.65-33.1-2
mobile|SM-N950F Build/NMF26X,mobile,SM-N950F Build/NMF26X
mobile|LGMS550 Build/MXB48T,mobile,LGMS550 Build/MXB48T
mobile|XT1031,mobile,XT1031
mobile|SAMSUNG SM-T710 Build/NRD90M,mobile,SAMSUNG SM-T710 Build/NRD90M
mobile|Lenovo TB-7703X Build/S100,mobile,Lenovo TB-7703X Build/S100
mobile|Moto G (5) Build/NPPS25.137-15-11,mobile,Moto G (5) Build/NPPS25.137-15-11
mobile|LT30p,mobile,LT30p
mobile|Moto G (4) Build/NPJ25.93-14,mobile,Moto G (4) Build/NPJ25.93-14
mobile|MHA-L09 Build/HUAWEIMHA-L09,mobile,MHA-L09 Build/HUAWEIMHA-L09
mobile|HUAWEI VNS-L31 Build/HUAWEIVNS-L31,mobile,HUAWEI VNS-L31 Build/HUAWEIVNS-L31
mobile|Hisense L675 PRO Build/NRD90M,mobile,Hisense L675 PRO Build/NRD90M
mobile|SAMSUNG-SM-G925A Build/NRD90M,mobile,SAMSUNG-SM-G925A Build/NRD90M
mobile|Mi A1 Build/N2G47H,mobile,Mi A1 Build/N2G47H
mobile|SM-N900T,mobile,SM-N900T
mobile|VS425PP Build/LMY47V,mobile,VS425PP Build/LMY47V
mobile|SM-J727T Build/NRD90M,mobile,SM-J727T Build/NRD90M
mobile|LG-X220 Build/LMY47I,mobile,LG-X220 Build/LMY47I
desktop|ATT-IE11,desktop,ATT-IE11
mobile|SAMSUNG SM-G900F Build/MMB29M,mobile,SAMSUNG SM-G900F Build/MMB29M
mobile|BLADE V8 Build/NRD90M,mobile,BLADE V8 Build/NRD90M
mobile|SM-J700T1 Build/NMF26X,mobile,SM-J700T1 Build/NMF26X
mobile|Linux x86_64,mobile,Linux x86_64
mobile|SM-G930R7,mobile,SM-G930R7
mobile|LGUS215 Build/NRD90U,mobile,LGUS215 Build/NRD90U
mobile|SM-T237P,mobile,SM-T237P
mobile|TA-1038,mobile,TA-1038
mobile|SM-G930W8 Build/NRD90M,mobile,SM-G930W8 Build/NRD90M
mobile|SM-G950W,mobile,SM-G950W
mobile|SM-J100VPP Build/LMY48B,mobile,SM-J100VPP Build/LMY48B
mobile|LGLS990,mobile,LGLS990
mobile|SM-A500H,mobile,SM-A500H
mobile|F3313 Build/37.0.A.2.108,mobile,F3313 Build/37.0.A.2.108
mobile|SM-G900I,mobile,SM-G900I
mobile|SM-T813 Build/NRD90M,mobile,SM-T813 Build/NRD90M
desktop|rv:31.0,desktop,rv:31.0
mobile|SM-J730GM Build/NRD90M,mobile,SM-J730GM Build/NRD90M
UNKNOWN|rv:11.0,,rv:11.0
mobile|H1711 Build/HUAWEIH1711,mobile,H1711 Build/HUAWEIH1711
mobile|Build/OPR6.170623.013,mobile,Build/OPR6.170623.013
mobile|LG-V930,mobile,LG-V930
mobile|LG-K240 Build/MXB48T,mobile,LG-K240 Build/MXB48T
mobile|Z982 Build/NMF26V,mobile,Z982 Build/NMF26V
mobile|SAMSUNG SM-J700T Build/NMF26X,mobile,SAMSUNG SM-J700T Build/NMF26X
desktop|rv:44.0,desktop,rv:44.0
mobile|XT1055,mobile,XT1055
mobile|Moto E (4) Build/NCQ26.69-56,mobile,Moto E (4) Build/NCQ26.69-56
mobile|Moto E (4) Build/NDQS26.69-23-2-3,mobile,Moto E (4) Build/NDQS26.69-23-2-3
mobile|XT1575,mobile,XT1575
mobile|SM-J327P Build/MMB29M,mobile,SM-J327P Build/MMB29M
mobile|SM-T377V,mobile,SM-T377V
mobile|HUAWEI G7-L03 Build/HuaweiG7-L03,mobile,HUAWEI G7-L03 Build/HuaweiG7-L03
UNKNOWN|Trident/7.0,,Trident/7.0
mobile|LG-D693n Build/KOT49I.V10a,mobile,LG-D693n Build/KOT49I.V10a
mobile|SM-P900,mobile,SM-P900
mobile|SM-J500M Build/MMB29M,mobile,SM-J500M Build/MMB29M
mobile|SAMSUNG SM-N920T Build/NRD90M,mobile,SAMSUNG SM-N920T Build/NRD90M
mobile|Blade A510 Build/MRA58K,mobile,Blade A510 Build/MRA58K
mobile|LGL62VL,mobile,LGL62VL
mobile|BBB100-3,mobile,BBB100-3
mobile|SM-N910C Build/MMB29K,mobile,SM-N910C Build/MMB29K
mobile|LG-LS997 Build/NRD90M,mobile,LG-LS997 Build/NRD90M
mobile|SM-N950W,mobile,SM-N950W
mobile|4027A Build/KOT49H,mobile,4027A Build/KOT49H
desktop|rv:53.0,desktop,rv:53.0
mobile|E2306 Build/26.1.A.3.111,mobile,E2306 Build/26.1.A.3.111
mobile|ZTE,mobile,ZTE
mobile|LG-M150,mobile,LG-M150
mobile|HTC One Build/LRX22G,mobile,HTC One Build/LRX22G
mobile|SAMSUNG SM-G925P Build/NRD90M,mobile,SAMSUNG SM-G925P Build/NRD90M
mobile|SAMSUNG SM-G570M Build/MMB29K,mobile,SAMSUNG SM-G570M Build/MMB29K
mobile|LG-H830 Build/NRD90U,mobile,LG-H830 Build/NRD90U
mobile|SAMSUNG SM-N920P Build/NRD90M,mobile,SAMSUNG SM-N920P Build/NRD90M
mobile|SAMSUNG-SM-G890A Build/MMB29K,mobile,SAMSUNG-SM-G890A Build/MMB29K
mobile|SAMSUNG SM-G920T Build/NRD90M,mobile,SAMSUNG SM-G920T Build/NRD90M
mobile|SAMSUNG SM-N920A Build/NRD90M,mobile,SAMSUNG SM-N920A Build/NRD90M
desktop|rv:46.0,desktop,rv:46.0
mobile|SM-T800 Build/MMB29K,mobile,SM-T800 Build/MMB29K
desktop|hp2015,desktop,hp2015
desktop|iOS Device,desktop,iOS Device
mobile|Moto G (5) Build/NPP25.137-38,mobile,Moto G (5) Build/NPP25.137-38
mobile|SAMSUNG SM-G903F Build/MMB29K,mobile,SAMSUNG SM-G903F Build/MMB29K
mobile|SM-J100MU,mobile,SM-J100MU
mobile|E6833,mobile,E6833
UNKNOWN|Windows,,Windows
mobile|SM-G920W8,mobile,SM-G920W8
mobile|rv:56.0,mobile,rv:56.0
mobile|5010G Build/MRA58K,mobile,5010G Build/MRA58K
mobile|A3_mini,mobile,A3_mini
mobile|XT1528,mobile,XT1528
desktop|rv:39.0,desktop,rv:39.0
mobile|SM-N900W8 Build/LRX21V,mobile,SM-N900W8 Build/LRX21V
mobile|SM-G920T1,mobile,SM-G920T1
mobile|HP,mobile,HP
mobile|SM-S820L,mobile,SM-S820L
mobile|XT1032 Build/LPBS23.13-57-2,mobile,XT1032 Build/LPBS23.13-57-2
mobile|SM-G920V,mobile,SM-G920V
mobile|SAMSUNG SM-G850F/G850FXXS2CQD9 Build/LRX22G,mobile,SAMSUNG SM-G850F/G850FXXS2CQD9 Build/LRX22G
mobile|LG-H850,mobile,LG-H850
mobile|Redmi,mobile,Redmi
mobile|D6708,mobile,D6708
mobile|LG-H900/H90022b,mobile,LG-H900/H90022b
mobile|SAMSUNG-SM-G920A Build/NRD90M,mobile,SAMSUNG-SM-G920A Build/NRD90M
mobile|HUAWEI CAN-L01 Build/HUAWEICAN-L01,mobile,HUAWEI CAN-L01 Build/HUAWEICAN-L01
mobile|SAMSUNG SM-G935P Build/NRD90M,mobile,SAMSUNG SM-G935P Build/NRD90M
desktop|WOW64,desktop,WOW64
mobile|SAMSUNG SM-J327T1 Build/NRD90M,mobile,SAMSUNG SM-J327T1 Build/NRD90M
mobile|XT1563 Build/MPD24.107-52,mobile,XT1563 Build/MPD24.107-52
mobile|CRO-L03 Build/HUAWEICRO-L03,mobile,CRO-L03 Build/HUAWEICRO-L03
mobile|Hisense F23 Build/NRD90M,mobile,Hisense F23 Build/NRD90M
mobile|Moto C Plus Build/NRD90M.05.034,mobile,Moto C Plus Build/NRD90M.05.034
mobile|Redmi Note 4 Build/NRD90M,mobile,Redmi Note 4 Build/NRD90M
mobile|LG-K373,mobile,LG-K373
mobile|SM-G530P,mobile,SM-G530P
mobile|SM-J320FN Build/LMY47V,mobile,SM-J320FN Build/LMY47V
mobile|moto x4 Build/NPW26.83-18-2-0-4,mobile,moto x4 Build/NPW26.83-18-2-0-4
mobile|F5121 Build/34.3.A.0.238,mobile,F5121 Build/34.3.A.0.238
mobile|Android 5.1.1,mobile,Android 5.1.1
mobile|Ilium X210 Build/LMY47I,mobile,Ilium X210 Build/LMY47I
mobile|HTC6545LVW,mobile,HTC6545LVW
mobile|SM-S902L,mobile,SM-S902L
mobile|C2104,mobile,C2104
mobile|SAMSUNG-SM-T537A,mobile,SAMSUNG-SM-T537A
mobile|VS990 Build/MRA58K,mobile,VS990 Build/MRA58K
mobile|SM-N920V,mobile,SM-N920V
mobile|5056A Build/MMB29M,mobile,5056A Build/MMB29M
mobile|Lenovo A6020l37 Build/LMY47V,mobile,Lenovo A6020l37 Build/LMY47V
mobile|SAMSUNG-SM-G928A Build/NRD90M,mobile,SAMSUNG-SM-G928A Build/NRD90M
mobile|PH-1,mobile,PH-1
mobile|G3423,mobile,G3423
mobile|E5803 Build/32.4.A.1.54,mobile,E5803 Build/32.4.A.1.54
mobile|Hisense U963 Build/MRA58K,mobile,Hisense U963 Build/MRA58K
mobile|moto x4 Build/NPW26.83-42,mobile,moto x4 Build/NPW26.83-42
mobile|F3113 Build/33.2.A.3.81,mobile,F3113 Build/33.2.A.3.81
mobile|HTC One_M8 Build/MRA58K,mobile,HTC One_M8 Build/MRA58K
mobile|SAMSUNG SM-G530T Build/LMY47X,mobile,SAMSUNG SM-G530T Build/LMY47X
mobile|SM-G530H Build/KTU84P,mobile,SM-G530H Build/KTU84P
mobile|SM-P355M Build/MMB29M,mobile,SM-P355M Build/MMB29M
mobile|ONE TOUCH 4016A Build/JDQ39,mobile,ONE TOUCH 4016A Build/JDQ39
mobile|Ilium X510 Build/MRA58K,mobile,Ilium X510 Build/MRA58K
mobile|BLADE A520 Build/NRD90M,mobile,BLADE A520 Build/NRD90M
mobile|VS986 Build/MRA58K,mobile,VS986 Build/MRA58K
mobile|XT1609 Build/MPIS24.241-2.35-1-17,mobile,XT1609 Build/MPIS24.241-2.35-1-17
mobile|SAMSUNG-SM-G890A,mobile,SAMSUNG-SM-G890A
mobile|LG-D855 Build/LRX21R,mobile,LG-D855 Build/LRX21R
mobile|LG-H631,mobile,LG-H631
mobile|FP2,mobile,FP2
mobile|GT-N5110,mobile,GT-N5110
mobile|m3,mobile,m3
mobile|G3313 Build/43.0.A.5.79,mobile,G3313 Build/43.0.A.5.79
mobile|SM-G955U1 Build/NRD90M,mobile,SM-G955U1 Build/NRD90M
mobile|SM-J530GM Build/NRD90M,mobile,SM-J530GM Build/NRD90M
mobile|XT1563,mobile,XT1563
mobile|KFSUWI Build/LVY48F,mobile,KFSUWI Build/LVY48F
mobile|R1,mobile,R1
mobile|Blade L2 Plus Build/KOT49H,mobile,Blade L2 Plus Build/KOT49H
mobile|SAMSUNG SM-G925F Build/NRD90M,mobile,SAMSUNG SM-G925F Build/NRD90M
mobile|XT1635-02,mobile,XT1635-02
mobile|LG-V521,mobile,LG-V521
mobile|TA-1038 Build/NMF26O,mobile,TA-1038 Build/NMF26O
mobile|SCH-I435,mobile,SCH-I435
mobile|SM-G928T Build/NRD90M,mobile,SM-G928T Build/NRD90M
mobile|P027,mobile,P027
mobile|5054S Build/LMY47V,mobile,5054S Build/LMY47V
mobile|MotoG3-TE Build/MPDS24.65-33-1-30,mobile,MotoG3-TE Build/MPDS24.65-33-1-30
mobile|XT1064,mobile,XT1064
mobile|SM-J327T1 Build/NRD90M,mobile,SM-J327T1 Build/NRD90M
mobile|P00C,mobile,P00C
mobile|SAMSUNG SM-G920F Build/NRD90M,mobile,SAMSUNG SM-G920F Build/NRD90M
mobile|LG-H840 Build/MMB29M,mobile,LG-H840 Build/MMB29M
mobile|Lenovo TB-X103F Build/LenovoTB-X103F,mobile,Lenovo TB-X103F Build/LenovoTB-X103F
mobile|REVVLPLUS,mobile,REVVLPLUS
mobile|LG-M430 Build/NRD90U,mobile,LG-M430 Build/NRD90U
mobile|XT1060,mobile,XT1060
mobile|HUAWEI NXT-L09 Build/HUAWEINXT-L09,mobile,HUAWEI NXT-L09 Build/HUAWEINXT-L09
mobile|LenovoA3300-GV Build/JDQ39,mobile,LenovoA3300-GV Build/JDQ39
desktop|rv:35.0,desktop,rv:35.0
mobile|KFMEWI,mobile,KFMEWI
mobile|Le X520 Build/IEXCNFN5902303111S,mobile,Le X520 Build/IEXCNFN5902303111S
mobile|Nexus 6P Build/OPR5.170623.014,mobile,Nexus 6P Build/OPR5.170623.014
mobile|LG-M327 Build/NRD90U,mobile,LG-M327 Build/NRD90U
mobile|SAMSUNG-SM-G890A Build/NRD90M,mobile,SAMSUNG-SM-G890A Build/NRD90M
mobile|PSPC550 Build/LMY47D,mobile,PSPC550 Build/LMY47D
mobile|SM-G930VL Build/NRD90M,mobile,SM-G930VL Build/NRD90M
mobile|STV100-3,mobile,STV100-3
mobile|SAMSUNG SM-N950U1 Build/NMF26X,mobile,SAMSUNG SM-N950U1 Build/NMF26X
mobile|SM-A320Y,mobile,SM-A320Y
mobile|SAMSUNG SM-A720F Build/NRD90M,mobile,SAMSUNG SM-A720F Build/NRD90M
mobile|SM-G355M Build/KOT49H,mobile,SM-G355M Build/KOT49H
mobile|ME173X,mobile,ME173X
mobile|GT-S7580L Build/JDQ39,mobile,GT-S7580L Build/JDQ39
mobile|ALCATEL,mobile,ALCATEL
mobile|NXA116QC164,mobile,NXA116QC164
mobile|ZTE Blade L5 Build/LMY47I,mobile,ZTE Blade L5 Build/LMY47I
mobile|SM-G360V,mobile,SM-G360V
mobile|SM-G925F Build/NRD90M,mobile,SM-G925F Build/NRD90M
mobile|AX820 Build/MRA58K,mobile,AX820 Build/MRA58K
mobile|SM-G360M,mobile,SM-G360M
mobile|V.40R,mobile,V.40R
mobile|BLU,mobile,BLU
desktop|MALC,desktop,MALC
mobile|SM-G928V Build/MMB29K,mobile,SM-G928V Build/MMB29K
mobile|ASUS_Z00ED,mobile,ASUS_Z00ED
mobile|SH-04F,mobile,SH-04F
mobile|TREKKER-X3 Build/MMB29M,mobile,TREKKER-X3 Build/MMB29M
mobile|BLADE L7 Build/MRA58K,mobile,BLADE L7 Build/MRA58K
mobile|Nexus 5 Build/M4B30Z,mobile,Nexus 5 Build/M4B30Z
mobile|Venue,mobile,Venue
mobile|SAMSUNG SM-J327A Build/NRD90M,mobile,SAMSUNG SM-J327A Build/NRD90M
mobile|SM-T310 Build/KOT49H,mobile,SM-T310 Build/KOT49H
mobile|Android 7.0,mobile,Android 7.0
mobile|SM-A310F Build/MMB29K,mobile,SM-A310F Build/MMB29K
mobile|Moto G (4) Build/NPJS25.93-14-8,mobile,Moto G (4) Build/NPJS25.93-14-8
mobile|Moto E (4) Plus Build/NMA26.42-11-3,mobile,Moto E (4) Plus Build/NMA26.42-11-3
mobile|VS880PP,mobile,VS880PP
desktop|S.N.O.W.4,desktop,S.N.O.W.4
mobile|SM-J727T1 Build/NRD90M,mobile,SM-J727T1 Build/NRD90M
mobile|SAMSUNG-SM-N900A,mobile,SAMSUNG-SM-N900A
mobile|SAMSUNG SM-G900T Build/MMB29M,mobile,SAMSUNG SM-G900T Build/MMB29M
mobile|SGH-I337M Build/LRX22C,mobile,SGH-I337M Build/LRX22C
mobile|SM-N900T Build/LRX21V,mobile,SM-N900T Build/LRX21V
desktop|MAMI,desktop,MAMI
mobile|M4,mobile,M4
mobile|SM-N9005 Build/LRX21V,mobile,SM-N9005 Build/LRX21V
